case_id,decision,category,confidence,recommended_action,status,predicted,expected,expected_unit,error,schema_source,question,reason
DT092,dev,three_collinear_field,medium,collinear multi-charge package,solve_failed,,1.23 . 10^6,V/m,Missing distance between adjacent points C-M.,,"Given three point charges q1 = -2 μC, q2 = 3 μC, and q3 = -1 μC, placed at three collinear points A, B, and C. Point M is to the left of A and point N is to the right of C, such that MA = AB = BC = CN = 10 cm. Calculate the magnitude of the electric field strength at point M.",Three collinear charges with equal spacings; expected field at M. Need 1D multi-charge vector superposition.
DT093,dev,three_collinear_field,medium,collinear multi-charge package,solve_failed,,4.25 . 10^5,V/m,geometry[0].distances must be a non-empty list.,,"Given three point charges: q1 = -2 μC, q2 = 3 μC, and q3 = -1 μC, placed at three collinear points A, B, and C. Point M is located to the left of A, and point N is located to the right of C, such that MA = AB = BC = CN = 10 cm. Calculate the magnitude of the electric field intensity (or electric field strength) at point N.",Same family as DT092 for point N. Need 1D multi-charge vector superposition.
DT098,gold_wrong_existing,"MA=1 cm, MB=3 cm, AB=2 cm implies collinear with A between M and B; net field is about 3.2e5 N/C, not 4.0e4 N/C.",high,exclude from trusted metric,solved,320000 V/m,4.0 × 10⁴,N/C,,,"Two charges q₁ = +4 × 10^-9 C and q₂ = –4 × 10^-9 C are placed at points A and B, separated by 2 cm. Calculate the magnitude of the electric field strength at point M such that MA = 1 cm and MB = 3 cm.","MA=1 cm, MB=3 cm, AB=2 cm implies collinear with A between M and B; net field is about 3.2e5 N/C, not 4.0e4 N/C."
LD103,gold_wrong_existing,"Coulomb force vector sum using CA=10 cm, CB=8 cm, AB=9 cm gives about 1.48e-3 N; expected 1.480 N is off by 1000x.",high,exclude from trusted metric,solved,0.00148463 N,1.480,N,,,"Two point charges q1 = -4 × 10^-8 C and q2 = -9 × 10^-8 C are placed at points A and B, which are 9 cm apart in the air. A third charge q3 = -1 × 10^-8 C is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.","Coulomb force vector sum using CA=10 cm, CB=8 cm, AB=9 cm gives about 1.48e-3 N; expected 1.480 N is off by 1000x."
LD146,gold_wrong_existing,Three equal charges 5e-6 C on equilateral triangle side 10 cm give sqrt(3) k q^2/a^2 ≈ 38.9 N; expected 3.89e-3 N is off by 1e4.,high,exclude from trusted metric,solved,38.9711 N,3.89*10^-3,N,,,"Three electric charges, q1 = q2 = q3 = +5 × 10^-6 C, are placed at the three vertices of an equilateral triangle of side length 10 cm in the air. Calculate the resultant electric force acting on q3.",Three equal charges 5e-6 C on equilateral triangle side 10 cm give sqrt(3) k q^2/a^2 ≈ 38.9 N; expected 3.89e-3 N is off by 1e4.
LD274,dev,force_from_field_intent,high,force-from-field final intent,solved,3.63173e+07 V/m,36.32,N,,,"Two point charges, q1 = +8 × 10^-6 C and q2 = -8 × 10^-6 C, are placed at points A and B, separated by 10 cm. A test charge q with a magnitude of 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB, at a distance of 3 cm from AB. Calculate the net electric force acting on the test charge q.",Question asks net force on test charge; system computed field. Need final intent force = qE after vector field.
LD294,gold_wrong_existing,Symmetric dipole geometry with q_test=1e-8 C gives net force about 0.230 N; expected 0.230e-3 N is off by 1000x.,high,exclude from trusted metric,solved,0.230414 N,0.230 × 10⁻³,N,,,"Two point charges, q1 = +8 × 10^-6 C and q2 = -8 × 10^-6 C, are placed at points A and B, separated by 12 cm. A test charge q = 10^-8 C is placed at point M, which lies on the perpendicular bisector of AB, 4 cm away from AB. Calculate the net electric force acting on q. Give your answer rounded to three decimal places.",Symmetric dipole geometry with q_test=1e-8 C gives net force about 0.230 N; expected 0.230e-3 N is off by 1000x.
LD303,gold_wrong_existing,"At the right-angle vertex of an isosceles right triangle, equal perpendicular fields combine by sqrt(2), giving about 5.64e6 V/m; expected 7.95e6 equals scalar 2E, not vector sum.",high,exclude from trusted metric,solved,5.64849e+06 V/m,7.95 × 10^6,V/m,,,"Three identical charges, q = 1.2 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of length 5.2 cm. Calculate the net electric field at the right-angle vertex. Give your answer two decimal places.","At the right-angle vertex of an isosceles right triangle, equal perpendicular fields combine by sqrt(2), giving about 5.64e6 V/m; expected 7.95e6 equals scalar 2E, not vector sum."
LD336,dev,perpendicular_bisector_vector,high,two-charge geometry package,solved,2.16e+07 V/m,1.31*10^7,V/m,,,Two charges q1 = -3.6 × 10^-6 C and q2 = -2.1 × 10^-6 C are 6.0 cm apart. Point M is equidistant from A and B along a line perpendicular to AB and is 5.0 cm from the midpoint of AB. Calculate the total electric field strength at M. Give your answer rounded two decimal places.,Perpendicular-bisector point with midpoint distance; expected likely from vector components. Need general two-charge geometry.
LD339,dev,perpendicular_bisector_vector,high,two-charge geometry package,solved,3.53025e+07 V/m,1.3*10^7,V/m,,,"Two charges, q1 = 5.3 × 10^-6 C and q2 = -3.0 × 10^-6 C, are separated by 9.2 cm. Point M is on the perpendicular bisector of the line segment connecting the charges, 4.6 cm from its midpoint. Calculate the net electric field strength at M. Give your answer rounded two decimal places.",Perpendicular-bisector vector field with unequal/opposite charges. Need component geometry.
LD340,dev,perpendicular_bisector_vector,high,two-charge geometry package,solved,2.42439e+07 V/m,8.87*10^6,V/m,,,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = -2.1 × 10^-6 C, are separated by 9.2 cm. Point M is located on the perpendicular bisector of the line segment connecting the charges, at a distance of 4.6 cm from the midpoint of this segment. Calculate the resultant electric field strength at M. Give your answer rounded two decimal places.",Same perpendicular-bisector vector family.
LD342,dev,collinear_two_charge_field,high,collinear two-charge package,ok,38226.8270939 V/m,2.1*10^6,V/m,,llm_raw,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = 3.0 × 10^-6 C, are separated by a distance of 9.2 cm. Point M lies on the line connecting A and B, but outside the segment AB, and is 14.2 cm from A(M is to the right side of A and B). Calculate the net electric field strength at M. Give your answer rounded two decimal places.",Point outside AB on line; expected likely from signed 1D superposition. Need collinear two-charge parser.
LD343,dev,collinear_two_charge_field,high,collinear two-charge package,ok,3834688.76471 V/m,2.027*10^6,V/m,,llm_raw,"Two charges, q1 = -2.4 × 10^-6 C and q2 = -2.1 × 10^-6 C, are separated by 7.5 cm. Point M lies on the line connecting the two charges but outside the segment between them, and is located 11.9 cm to the left of charge q1. Calculate the net electric field at M. Give your answer rounded three decimal places.",Point outside segment left of q1; expected from signed 1D superposition.
LD344,dev,perpendicular_bisector_vector,high,two-charge geometry package,solved,1.06727e+07 V/m,2.7*10^7,V/m,,,"Two point charges, q1 = 3.6 × 10^-6 C and q2 = -1.2 × 10^-6 C, are separated by 8.0 cm. Point M lies on the perpendicular bisector of the line segment connecting the two charges and is 4.0 cm from each charge. Calculate the resultant electric field strength at M. Give your answer rounded one decimal places.",Wording gives point on perpendicular bisector and 4cm from each charge = midpoint; expected matches midpoint vector result.
LD346,dev,collinear_two_charge_field,high,collinear two-charge package,ok,5898080.8637 V/m,8.11*10^6,V/m,,llm_raw,"Two electric charges, q1 = 4.2 × 10^-6 C and q2 = 4.8 × 10^-6 C, are separated by 6.0 cm. Point M lies on the line connecting the two charges (let's denote their positions as A and B respectively) but outside the segment AB. M is located 8.0 cm from A. Calculate the net electric field strength at M. Give your answer rounded two decimal places.",Point outside AB with explicit distance from A; need signed 1D geometry.
LD349,dev,explicit_angle_vector_parser_miss,high,extend v13 parser,solve_failed,,1.2*10^7,V/m,"Cannot build coordinates for points: ['A', 'B', 'M']",,"Two electric charges, q1 = 3.6 × 10^-6 C and q2 = -3.0 × 10^-6 C, are placed at two points equidistant from point M. Each point is 5.0 cm away from M, and the angle between the lines connecting these two points to M is 60°. Calculate the net electric field strength at M. Give your answer rounded one decimal places.",Same v13 vector-resultant family but wording says equidistant rather than each is r; extractor missed it.
LD354,dev,perpendicular_bisector_vector,high,two-charge geometry package,solved,1.74386e+07 V/m,1.155*10^7,V/m,,,"Two electric charges, q1 = 5.3 × 10^-6 C and q2 = 1.2 × 10^-6 C, are separated by 9.2 cm. Point M lies on the perpendicular bisector of the line connecting the charges, at a distance of 4.6 cm from its midpoint. Calculate the net electric field at point M. Give your answer rounded three decimal places.",Perpendicular bisector with midpoint distance; need component geometry.
LD358,dev,collinear_two_charge_field,high,collinear two-charge package,ok,5055497.88317 V/m,3.47 × 10^6,V/m,,llm_raw,"Two electric charges, q1 = -3.6 × 10^-6 C and q2 = 1.2 × 10^-6 C, are separated by 8.0 cm. Point M lies on the line connecting A and B, but outside the segment AB, and is 12.4 cm to the right of A. Calculate the net electric field strength at M. Give your answer rounded two decimal places.",Point outside AB right of A; ambiguous reference but expected likely from 1D signed geometry.
LD379,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,2.23941e+07 V/m,8.28*10^6,V/m,,,"Two point charges q1 = 2.60 × 10^-6 C and q2 = 3.39 × 10^-6 C are placed 5.86 cm apart. Calculate the magnitude of the electric field at a point on the perpendicular bisector, 2.93 cm from each charge. Give your answer rounded to two decimal places.","Distance to each charge equals half separation; effectively midpoint, expected from opposing components."
LD384,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,9.77148e+06 V/m,5.27*10^6,V/m,,,"Two charges, q1 = 1.50 × 10^-6 C and q2 = 2.19 × 10^-6 C, are placed 6.99 cm apart. Calculate the electric field strength at a point on the perpendicular bisector that is 3.5 cm away from each charge. Give your answer rounded to two decimal places.",Same midpoint-degenerate perpendicular wording; expected from difference of same-sign fields.
LD387,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,2.50708e+07 V/m,9.1*10^6,V/m,,,"Two electric charges, q1 = 2.96 × 10^-6 C and q2 = 3.84 × 10^-6 C, are placed at two points 5.9 cm apart. Calculate the electric field strength at a point on the perpendicular bisector, equidistant from both charges at 2.95 cm. Give your answer rounded to one decimal places.",Same midpoint-degenerate perpendicular wording.
LD388,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,2.00889e+07 V/m,5.02*10^6,V/m,,,"Two charges, q1 = 3.75 × 10^-6 C and q2 = 3.14 × 10^-6 C, are placed 6.62 cm apart. Calculate the electric field strength at a point on the perpendicular bisector, where the point is 3.31 cm from each of the two charges. Give your answer rounded to two decimal places.",Same midpoint-degenerate perpendicular wording.
LD389,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,2.73432e+07 V/m,1.94*10^6,V/m,,,"Two charges, q1 = 3.29 × 10^-6 C and q2 = 3.13 × 10^-6 C, are placed at two points separated by 5.47 cm. Calculate the electric field strength at a point on the perpendicular bisector, which is 2.73 cm away from each of the two charges. Give your answer rounded to two decimal places.",Same midpoint-degenerate perpendicular wording.
LD391,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,2.61898e+07 V/m,2.89*10^6,V/m,,,"Two charges q1 = 1.41 × 10^-6 C and q2 = 3.48 × 10^-6 C are placed at two points separated by 5.08 cm. Calculate the electric field strength at a point on the perpendicular bisector, equidistant from both charges by 2.54 cm. Give your answer rounded to two decimal places.",Same midpoint-degenerate perpendicular wording.
LD395,dev,three_charge_triangle_field,medium,triangle/vector field package,solved,1.00109e+07 V/m,7.42*10^6,V/m,,,Three charges q1 = q2 = 2.68 × 10^-6 C and q3 = 1.20 × 10^-6 C are placed at the three vertices of an equilateral triangle with side length 6.46 cm. Calculate the net electric field at the position of q3. Give your answer rounded to two decimal places.,Equilateral triangle field at q3 from q1=q2 plus q3 at target; need target-charge exclusion and triangle vector field.
LD397,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,1.28582e+07 V/m,3.15*10^6,V/m,,,"Two charges q1 = 3.15 × 10^-6 C and q2 = 3.75 × 10^-6 C are placed 8.28 cm apart. Calculate the electric field strength at a point on the perpendicular bisector, which is 4.14 cm from each charge.",Same midpoint-degenerate perpendicular wording.
LD400,dev,perpendicular_bisector_midpoint_degenerate,high,two-charge geometry package,solved,1.36222e+07 V/m,2.01*10^7,V/m,,,"Two point charges q1 = 4.78 × 10^-6 C and q2 = 1.15 × 10^-6 C are placed at two points separated by 8.06 cm. Calculate the electric field strength at a point on the perpendicular bisector, such that the point is 4.03 cm away from each charge. Give your answer rounded to two decimal places.",Same midpoint-degenerate perpendicular wording.
