id,question,answer,_prefix,_skip_guess
LD009,"Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. What is the resultant force?",8.66,LD,False
LD010,"Three charges q1 = +2 μC, q2 = +2 μC, and q3 = -2 μC are placed at the three vertices of an equilateral triangle with a side length of 10 cm. Calculate the magnitude of the net electric force acting on q3.",6.24,LD,False
LD011,"An electric charge is subjected to two electric forces with magnitudes of 4 N and 3 N, acting at an angle of 90° to each other. Calculate the resultant force. (This is a very direct and clear translation.)",5,LD,False
LD012,"Three charges q1 = +1 μC, q2 = +1 μC, and q3 = -1 μC are placed at the vertices of an equilateral triangle with side a = 20 cm. Calculate the magnitude of the net force acting on q3.",0.39,LD,False
LD013,"Two charges are placed equidistant from point O. The electric forces exerted by these two charges on point O are 6 N and 8 N, respectively, and are perpendicular to each other. Calculate the resultant force at O.",10,LD,False
LD014,"Two charges separated by 15 cm exert a force of 4.8 N. Given that q1 = q2 = q, find q.",3.46,LD,False
LD015,Two electric forces with magnitudes of 5 N and 12 N act at an angle of 60° to each other. Calculate the resultant force.,15.13,LD,False
LD016,"Three identical charges q = +1 μC are placed at the three vertices of an isosceles right triangle, with sides of length a = 10 cm. Calculate the net force acting on the charge at the right angle vertex.",1.27,LD,False
LD017,"Three charges: q1 = +3 μC, q2 = -2 μC, and q3 = +1 μC are placed 10 cm apart on a straight line. Calculate the force acting on q2.",3.6,LD,False
LD018,Two identical charges q = +2 μC are placed at two vertices of an equilateral triangle with side length a = 0.1 m. A charge q′ = -1 μC is placed at the remaining vertex. Calculate the net electric force acting on q′.,3.12,LD,False
LD019,"Two electric forces have magnitudes of 6 N and 8 N, acting at an angle of 120° to each other. Calculate the resultant force of these two forces.",7.21,LD,False
LD020,"A charge is acted upon by two forces, each of magnitude 10 N. Find the angle between the two forces if the resultant force is also 10 N.",120,LD,False
LD021,"A charge q = -1 μC is attracted by two +1 μC charges. These two positive charges are located on opposite sides of q, along the same straight line passing through q, at distances of 5 cm and 12 cm respectively from q. Calculate the magnitude of the net electric force acting on q.",2.98,LD,False
LD022,"Two electric charges, q1 = +2 μC and q2 = -2 μC, are placed 10 cm apart. A charge q3 = +1 μC is placed at the midpoint of the line segment connecting q1 and q2. Calculate the net force acting on q3.",14.4,LD,False
LD023,"Two forces act on a charge. They are collinear and act in opposite directions, with magnitudes of 15 N and 9 N. Calculate the magnitude and direction of the resultant force.",6,LD,False
LD024,"Three charges q1 = +1 μC, q2 = -2 μC, q3 = +3 μC are placed at the vertices of an isosceles right triangle with legs of 0.1 m. Calculate the net force acting on q3.",06.04,LD,False
LD025,"Two charges, q1 = +2 μC and q2 = +2 μC, are placed at the ends of a 10 cm long line segment. A third charge, q3 = -1 μC, is positioned along the line connecting q1 and q2. Calculate the net force acting on q3 when it is 4 cm away from q1.",6.25,LD,False
LD026,"Two electric charges, q1 = 8 × 10^-8 C and q2 = -8 × 10^-8 C, are placed at points A and B respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10^-8 C, given that: CA = 4 cm and CB = 2 cm.",0.18,LD,False
LD027,"Two charges, q1 = 8×10^-8 C and q2 = -8×10^-8 C, are placed at points A and B in the air (AB = 6 cm). Determine the force acting on a third charge q3 = 8×10^-8 C, if CA = 4 cm and CB = 10 cm.",30.24 × 10^-3,LD,False
LD028,"Two point charges, q1 = 8 × 10⁻⁸ C and q2 = -8 × 10⁻⁸ C, are placed at points A and B, respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10⁻⁸ C if it is placed at point C such that CA = CB = 5 cm.",27.65 × 10^-3,LD,False
LD029,"Three point charges q1 = 4×10^-8 C, q2 = -4×10^-8 C, and q3 = 5×10^-8 C are placed in air at the three vertices A, B, C of an equilateral triangle with side a = 2 cm. Determine the magnitude of the force vector acting on q3.",45 × 10^-3,LD,False
LD030,"Three charges, q1 = 8×10^-9 C, q2 = q3 = -8×10^-9 C, are placed at the three vertices of an equilateral triangle ABC with side length a = 6 cm, in air. Determine the net force acting on a charge q0 = 6×10^-9 C placed at the center O of the triangle.",7.2 × 10^-4,LD,False
LD031,"In a vacuum, consider two electric charges q1 = -q2 = 10^-7 C placed at points A and B, separated by 8 cm. Determine the resultant force acting on electric charge q0 = 10^-7 C when q0 is placed at H, which is the midpoint of AB.",1.125 × 10^-1,LD,False
LD032,"In a vacuum, two charges q1 = 10^-7 C and q2 = -10^-7 C are placed at points A and B, separated by 8 cm. Determine the resultant force acting on a third charge q0 = 10^-7 C when q0 is placed at point M, 4 cm from A and 12 cm from B.",0.05,LD,False
LD033,"Three charges are placed at the three vertices of an equilateral triangle with side length a = 6 cm, in air: q1 = 6×10^-9 C, q2 = q3 = -8×10^-9 C. Determine the net force acting on a charge q0 = 8×10^-9 C placed at the center of the triangle.",8.4 × 10^-4,LD,False
LD034,"Two point charges q1 = 2×10⁻² µC and q2 = -2×10⁻² µC are placed at points A and B, separated by a distance a = 30 cm in air. What is the magnitude of the electric force exerted on a charge qo = 2×10⁻⁹ C placed at point M, which is equidistant from A and B by a distance equal to 'a'?",4 × 10^-6,LD,False
LD035,"Two point charges q1 = 4×10^-8 C and q2 = -4×10^-8 C are placed at points A and B, separated by a distance of 4 cm in air. What is the force acting on a charge q = 2×10^-7 C placed at the midpoint O of AB?",0.36,LD,False
LD036,"Two point charges, q1 and q2, of equal magnitude and the same sign, are placed in air a distance r apart. A third point charge, q3, is placed at the midpoint of the line segment connecting q1 and q2. What is the net force acting on charge q3?",0,LD,False
LD037,"There are two charges, q1 = 2×10^-6 C and q2 = -2×10^-6 C, placed at points A and B respectively in a vacuum, separated by a distance of 6 cm. A third charge, q3 = 4×10^-6 C, is placed on the perpendicular bisector of AB, at a distance of 4 cm from the line segment AB. What is the magnitude of the net electric force exerted by charges q1 and q2 on charge q3?",34.56,LD,False
LD038,"At the three vertices of right-angled triangle ABC (right-angled at A), with AB = 30 cm, AC = 40 cm, and BC = 50 cm, charges q1 = q2 = q3 = 10^-9 C are placed. Determine the magnitude of the net electric force acting on a charge q = 10^-9 C placed at point H, which is the foot of the altitude from A.",2.45 × 10^-7,LD,False
LD039,"Four identical charges q1, q2, q3, q4 are placed at the four vertices of a square ABCD, with a side length of 4 cm, respectively. Find the electric force acting on a charge q0 = 2×10^-8 C placed at the center of the square.",0,LD,False
LD040,"Two point charges q1 = 3 μC and q2 = -2 μC are placed at points A and B, separated by 6 cm. Find the magnitude of the electric force acting on q1 by q2? (Take k = 9×10^9 N×m²/C²)",15,LD,False
LD041,"Two charges of the same magnitude q are placed at two adjacent vertices of an isosceles right triangle with side length a = 10 cm. Find the magnitude of the total electric force acting on a test charge q0 placed at the remaining vertex, given F0 = kqq0/a^2.",\sqrt{2} × F₀,LD,False
LD042,"Two charges, q1 = +1 μC and q2 = +1 μC, are placed at points A and B, separated by 4 cm. Find the net force acting on a test charge q0 = +2 μC placed at point M, which is located precisely at the midpoint between A and B.",0,LD,False
LD043,Three identical charges 'q' are placed at the three vertices of an equilateral triangle with side length 'a'. Find the net electric force acting on a test charge placed at the center of the triangle?,0,LD,False
LD044,"Two point charges q1 = +2 μC and q2 = -2 μC are placed at two points A and B, separated by 6 cm. A test charge q0 = +1 μC is placed at point M, located on the extension of line AB, 4 cm from A and 10 cm from B. Calculate the magnitude of the net force acting on q0?",9.45,LD,False
LD045,"Two point charges, q1 = +1 μC and q2 = -4 μC, are placed 6 cm apart. Point M is located on the line segment connecting the two charges, 2 cm away from qCalculate the magnitude of the net force acting on a test charge placed at M, if q0 = +1 μC.",45,LD,False
LD046,Two electric charges q1 = +2 μC and q2 = +3 μC are placed at two points 5 cm apart. A test charge q0 = +1 μC is placed at a point 3 cm from q1 and 4 cm from q2. What is the net electric force acting on q0? (Use k = 9×10^9),26.2,LD,False
LD047,"A test charge is placed at a point whose distances to the two charges q1 = +2 μC and q2 = -3 μC are 3 cm and 4 cm, respectively. The two charges are fixed and separated by 7 cm. What is the direction of the net electric force acting on the test charge?",Hướng về phía q₂,LD,False
LD048,"A charge q1 = +2 μC is at A and q2 = -2 μC is at B, separated by 10 cm. A test charge is placed at the midpoint of AB. Calculate the net force acting on the test charge? If q0 = +1 μC.",14.4,LD,False
LD049,"Two charges, q1 = +5 μC and q2 = +5 μC, are placed at points A and B, 10 cm apart. Calculate the magnitude of the force acting on a test charge q0 = +1 μC placed at a point 6 cm from A and 8 cm from B.",14.34,LD,False
LD050,"Two charges, q1 = +1 μC and q2 = -1 μC, are placed at two points 10 cm apart. A test charge q0 = +2 μC is placed at a point equidistant from the two charges and located on the line connecting q1 and q2. What is the magnitude of the net electric force acting on q0?",14.4,LD,False
LD051,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength (or intensity) caused by these two point charges at point N, where NA = 5 cm and NB = 15 cm.",6.4 × 10^5,LD,False
LD052,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in air. Determine the electric field strength produced by these two point charges at point C, given that AC = BC = 8 cm.",3.51 × 10^5,LD,False
LD053,"At two points A and B, separated by 10 cm in the air, two charges q1 = -q2 = 6 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = BC = 12 cm.",3.125 × 10^6,LD,False
LD054,"Two point charges, q1 = 6 × 10^-6 C and q2 = -6 × 10^-6 C, are placed in air at points A and B, separated by 10 cm.
 Calculate the electric force exerted on a charge q3 = -3 × 10^-8 C placed at C.",0.094,LD,False
LD055,"At two points A and B, separated by 10 cm in air, two electric charges q1 = q2 = 16 × 10^-8 C are placed. Determine the electrostatic force acting on charge q3 = 2 × 10^-6 C, which is placed at point C. Given that AC = BC = 8 cm.",0.7,LD,False
LD056,"At two points A and B, separated by 20 cm in air, two point charges q1 = 4 × 10^-6 C and q2 = -6.4 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = 12 cm and BC = 16 cm. Determine the electric force acting on charge q3 = -5 × 10^-8 C placed at C.",33.6 × 10^5,LD,False
LD057,"At two points A and B, 20 cm apart in the air, two charges q1 = 4 × 10^-6 C and q2 = -6.4 × 10^-6 C are placed. Determine the electric force acting on a charge q3 = -5 × 10^-8 C placed at C.",0.17,LD,False
LD058,"Two charges, q1 = -1.6 × 10^-6 C and q2 = -2.4 × 10^-6 C, are placed at points A and B, respectively, which are 10 cm apart in air. Determine the electric field strength at point C due to these two charges. Given that AC = 8 cm and BC = 6 cm.",64 × 10^5,LD,False
LD059,"Four charges of the same magnitude q are placed at the four vertices of a square ABCD with side length a. Positive charges are located at A and C, while negative charges are located at B and D. Determine the resultant electric field strength at the intersection point of the square's diagonals.",0,LD,False
LD060,"Two electric charges, q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of the electric field strength at the midpoint of the line connecting the two charges?",36000,LD,False
LD061,"Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with a side length of 8 cm, in air. What is the magnitude of the electric field strength at vertex A?",1.2178 × 10^-3,LD,False
LD062,"Two electric charges q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C are placed at two points separated by 10 cm in a vacuum. Calculate the magnitude of the electric field strength at a point located on the straight line passing through the two charges, and which is 5 cm from q1 and 15 cm from q2.",20000,LD,False
LD063,"Two electric charges, q1 = 5 × 10^-16 C and q2 = –5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with sides of 8 cm in the air. What is the magnitude of the electric field strength at vertex A of triangle ABC?",0.7031 × 10^-3,LD,False
LD064,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, 6 cm apart in air. What is the magnitude of the electric field strength at the midpoint of AB?",10000,LD,False
LD065,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at two points A and B, separated by 6 cm in air. What is the magnitude of the electric field strength at point M, which is located on the perpendicular bisector of AB, at a distance ℓ = 4 cm from the midpoint of AB?",2160,LD,False
LD066,"Two point charges q1 = 2 × 10⁻² μC and q2 = –2 × 10⁻² μC are placed at two points A and B, separated by a distance a = 30 cm, in air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance a = 30 cm?",2000,LD,False
LD067,"Determine the electric field vector produced by a system of two point charges, q1 = 2 × 10^-7 C and q2 = -4 × 10^-7 C, at the midpoint of the line segment connecting the two charges. The two charges are separated by 10 cm and are located in alcohol, which has a dielectric constant ε = 2.2.",9.8 × 10^5,LD,False
LD068,"Three equal positive point charges, q = 5 × 10^-9 C, are placed at three vertices of a square with side length a = 40 cm. What is the magnitude of the electric field at the fourth vertex of the square?",538,LD,False
LD069,"Two charges, q1 = 4 × 10^-10 C and q2 = -4 × 10^-10 C, are placed at points A and B in the air, with the distance AB = a = 2 cm. Determine the electric field vector at point N such that A, B, and N form an equilateral triangle.",9000,LD,False
LD070,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at points A and B, separated by 40 cm in air. What is the resultant electric field strength at the midpoint M of AB? 
Hai điện tích điểm q1 = -10^-6 C, q2 = 10^-6 C đặt tại hai điểm A and B cách nhau 40 cm trong No khí. Cường độ điện trường tổng hợp tại trung điểm M của AB là.",4.5 × 10^5,LD,False
LD071,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at two points A and B, 40 cm apart in a vacuum. What is the magnitude of the resultant electric field at point N, which is 20 cm from A and 60 cm from B?
Hai điện tích điểm q1 = -10^-6 and q2 = 10^-6 C đặt tại hai điểm A and B cách nhau 40 cm trong chân No. Cường độ điện trường tổng hợp tại điểm N cách A 20 cm and cách B 60 cm Yes độ lớn.",2 × 10^5,LD,False
LD072,"Two point charges, q1 = 0.5 nC and q2 = −0.5 nC, are placed at points A and B respectively. The points are separated by a distance a = 6 cm in the air. Determine the electric field strength E at point M, where M is the midpoint of AB.",10000,LD,False
LD073,"There are two point charges, q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in the air. Determine the electric field strength E at point C, which is 6 cm from A and 12 cm from B.",937.5,LD,False
LD074,"There are two point charges q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in air. Determine the electric field strength E at point M, which is located on the perpendicular bisector of AB and 4 cm away from AB.",2160,LD,False
LD075,"Two charges, q1 = 8 × 10^-9 C and q2 = −2 × 10^-9 C, are placed at points A and B, separated by 9 cm in a vacuum. Let C be the point where the net electric field is zero. What is the distance from A to C?",18,LD,False
LD076,"At the three vertices A, B, and C of a square ABCD with side length 6 cm in a vacuum, three point charges are placed: q1 = q3 = 2 × 10^-7 C and q2 = -4 × 10^-7 C. Determine the charge q4 placed at D such that the net electric field strength caused by the system of charges at the center O is zero.",-4 × 10^-7,LD,False
LD077,"Two test charges q1 and q2 (q1 = 4q2) are placed at points A and B respectively in an electric field. The force acting on q1 is F1, and the force acting on q2 is F2 (with F1 = 3F2). Let E1 and E2 be the electric field strengths at A and B respectively. What is the relationship between E1 and E2?",E1 = (3/4)E2,LD,False
LD078,"Two points A and B lie on the same electric field line generated by a positive point charge q > 0. The magnitude of the electric field strength at A is 36 V/m, and at B is 9 V/m. Determine the electric field strength at M, the midpoint of AB.",16,LD,False
LD079,"Two electric charges, q1 = q2 = 5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of the electric field strength at the midpoint of the line segment connecting the two charges?",0,LD,False
LD080,"Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with a side length of 8 cm, in air. What is the magnitude of the electric field strength at vertex A of the triangle?",1.218 x 10^-3,LD,False
LD081,"Point charges qA and qB, both equal to 3 × 10⁻⁷ C, are placed respectively at two points A and B in the air. The distance AB is 12 cm. M is a point located on the perpendicular bisector of AB, 8 cm away from the line segment AB. What is the magnitude of the resultant electric field strength produced by qA and qB at point M?",432000,LD,True
LD082,"At two points A and B, separated by 8 cm in a vacuum, there are two point charges q1 = q2 = 16 × 10^-8 C. Determine the magnitude of the electric field caused by these two charges at point C, given that AC = BC = 8 cm.",389,LD,False
LD083,"Three positive charges, q1 = q2 = q3 = q = 5 × 10^-9 C, are placed at three consecutive vertices of a square with side length a = 30 cm in the air. What is the magnitude of the electric field at the fourth vertex?",9.6 × 10^2,LD,False
LD084,Three identical charges Q are fixed at the three vertices of an equilateral triangle with side 'a'. What is the magnitude of the electric field intensity at the center of the triangle?,0,LD,False
LD085,"At the three vertices of a right isosceles triangle ABC, with AB = AC = a, three positive charges qA = qB = q and qC = 2q are placed in a vacuum. What is the expression for the electric field intensity at H, which is the foot of the altitude dropped from the right-angle vertex A to the hypotenuse BC?",2 × sqrt(2) × k × q / a^2,LD,True
LD086,"Two point charges, q1 = 4 mC and q2 = −9 mC, are placed at points A and B, separated by 9 cm in a vacuum. What is the distance from point M to B, given that the net electric field at point M is zero?",27,LD,False
LD087,Given a square ABCD with side length 'a'. Charges q1 = q3 = q are placed at A and C. What charge must be placed at B so that the electric field at D is zero?,-2\sqrt{2} x q,LD,False
LD088,"Given two electric charges q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, located at points A and B in the air, separated by a distance AB = 2 cm. Determine the magnitude of the electric field strength E (V/m) at H, the midpoint of AB.",73718,LD,False
LD089,"Given two electric charges q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, placed at points A and B in air, with a separation AB = 2 cm. Determine the magnitude of the electric field strength E (in V/m) at point M, where MA = 1 cm and MB = 3 cm.",3.28 × 10^4,LD,False
LD090,"Two electric charges, q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, are placed at points A and B in air, with AB = 2 cm. Determine the magnitude of the electric field E (in V/m) at point N, given that triangle NAB is an equilateral triangle.",9 × 10^3,LD,False
LD091,"Two electric charges, q1 = -10 × 10⁻⁸ C and q2 = 10 × 10⁻⁸ C, are placed at points A and B in air, with AB = 6 cm. Determine the electric field vector at point M, which lies on the perpendicular bisector of AB and is 4 cm from AB.",4.32 × 10^5,LD,False
LD092,"A right-angled triangle ABC has its right angle at A. The side lengths are AB = 30 cm, AC = 40 cm, and BC = 50 cm (the hypotenuse). Identical point charges, q = 10 × 10⁻⁹ C, are placed at each of the three vertices (A, B, and C). Determine the electric field vector at point H, which is the foot of the altitude from vertex A to the hypotenuse BC.",2459,LD,False
LD094,"Two point charges q1 = +2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, separated by 6 cm in air. Calculate the net electric field strength at point M, which is on the line connecting A and B, 2 cm away from q1.",5.625 × 10^7,LD,False
LD095,"Two electric charges, q1 = +1 × 10^-6 C and q2 = +1 × 10^-6 C, are placed at points A and B, separated by 8 cm. Calculate the total (or net) electric field strength at the midpoint of AB.",0,LD,False
LD096,"Three equal, like-signed electric charges q = 2 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 6 cm. Calculate the electric field strength at the center of the triangle.",0,LD,False
LD097,"Two electric charges q1 = +3 × 10^-6 C and q2 = +4 × 10^-6 C are placed at points A and B, which are 5 cm apart. Calculate the resultant electric field strength at point M, which is 3 cm from A and 4 cm from B.",3.75 × 10^7,LD,False
LD098,"Two point charges q1 = −2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, 6 cm apart. Calculate the resultant electric field strength at point C, which lies on the perpendicular bisector of AB, at a distance of 4 cm from AB.",1.152 × 10^7,LD,False
LD099,"Two electric charges, q1 = +1 × 10^-6 C and q2 = −1 × 10^-6 C, are placed 10 cm apart. Calculate the resultant electric field at point M, which is equidistant from both charges and 5 cm away from the line segment connecting them.",2.55 × 10^6,LD,False
LD100,"Two electric charges, q1 = +3 × 10^-6 C and q2 = −3 × 10^-6 C, are placed at points A and B, separated by 10 cm. Point M lies on the perpendicular bisector of AB, at a distance of 6 cm from the line segment AB. Calculate the resultant electric field strength at M.",5.67 × 10^6,LD,False
TD001,An air-filled parallel-plate capacitor has a capacitance C = 500 pF and is charged to a potential difference U = 300 V. It is then disconnected from the source and immersed in a liquid dielectric with dielectric constant ε = 2. What is the potential difference between the plates of the capacitor?,150,TD,False
TD002,"An air-filled parallel plate capacitor has a capacitance C = 500 pF and is charged to a voltage U = 300 V. While still connected to the source, it is immersed in a liquid dielectric with a dielectric constant ε = 2. What will be the potential difference between the capacitor plates?",300,TD,False
TD003,An air-filled parallel plate capacitor with capacitance C = 500 pF is charged to a voltage U = 300 V. The capacitor is then disconnected from the source and immersed in a liquid dielectric with a relative permittivity (dielectric constant) of ε_r = 2. What is the electric field energy stored between the plates of the capacitor?,11.25,TD,False
TD004,An air-filled parallel-plate capacitor has a capacitance C = 500 pF and is charged to a voltage U = 300 V. The capacitor remains connected to the voltage source while it is immersed in a liquid dielectric with a dielectric constant ε = 2. What is the electric field energy between the plates of the capacitor?,45,TD,False
TD005,An air-filled parallel-plate capacitor with capacitance C = 2 pF is charged to a voltage U = 600 V. Calculate the charge Q of the capacitor.,1.2,TD,False
TD006,"An air-filled parallel-plate capacitor with capacitance C = 2 pF is charged to a voltage of U = 600 V. The capacitor is then disconnected from the source, and its plates are moved apart such that the distance between them is doubled. Calculate the new capacitance C1.",1,TD,False
TD007,"A parallel-plate air capacitor with a capacitance of C = 2pF is charged to a potential difference of U = 600 V. The capacitor is then disconnected from the power source, and its plates are moved apart so that the distance between them doubles. Calculate the new potential difference, U1.",1200,TD,False
TD008,"An air-filled parallel plate capacitor with a capacitance C = 2 pF is charged to a potential difference U = 600 V. While still connected to the source, the plates are moved further apart so that the distance between them doubles. Calculate the new potential difference, U2.",600,TD,False
TD009,"A parallel-plate capacitor has circular plates with a radius of 10 cm. The distance between the plates and the potential difference across them are 1 cm and 108 V, respectively. The space between the plates is air. What is the charge on the capacitor?",3,TD,False
TD010,"A parallel-plate capacitor in air is connected to a 50 V power source. The capacitor is then disconnected from the source, and the distance between its plates is doubled. What is the voltage across the capacitor at that point?",100,TD,False
TD011,A parallel plate capacitor has circular plates with a radius R = 60 cm. The distance between the plates is d = 2 mm. The space between the plates is filled with air. What is the capacitance of the capacitor?,5,TD,False
TD012,A parallel-plate capacitor has circular plates with a radius R = 60 cm. The plate separation is d = 2 mm. Air is between the plates. What is the maximum charge that can be stored on the capacitor without dielectric breakdown? Given that the maximum electric field strength air can withstand is 3 x 10^5 V/m.,3,TD,False
TD013,A parallel-plate capacitor with a capacitance of 7.0 nF is filled with a dielectric. The area of each plate is 15 cm² and the distance between the plates is 10⁻⁵ m. What is the dielectric constant of the dielectric?,5.28,TD,False
TD014,"Two capacitors with capacitances C1 = 2 μF and C2 = 3 μF are charged to voltages U1 = 200 V and U2 = 400 V, respectively. Afterwards, their like-charged plates are connected together. What is the voltage across the combined capacitors?",320,TD,False
TD015,"Two capacitors, C1 = 3μF and C2 = 6μF, are connected in series across a circuit segment AB with a total voltage UAB = 10 V. What is the voltage across capacitor C2?",10/3,TD,False
TD016,"Two capacitors with capacitances C1 = 0.4μF and C2 = 0.6μF are connected in parallel, and then connected to a power source with a voltage U < 60 V. One of the two capacitors has a charge of 3 × 10^-5 C. Calculate the voltage U.",50,TD,False
TD017,A parallel-plate air capacitor has an area of each plate of 33.2 cm² and the distance between the two plates is 1.86 mm. Calculate the capacitance of the capacitor.,15.76,TD,False
TD018,A parallel-plate capacitor has a capacitance of 15.76 pF and is charged to a voltage of 91.6 V. Calculate the charge stored on the capacitor.,1.44,TD,False
TD019,An air-filled parallel-plate capacitor has a capacitance of 15.76 pF and is charged to a voltage of 91.6 V. Calculate the electric field energy stored in the capacitor.,66.16,TD,False
TD020,A parallel-plate air capacitor has a plate area of 19.6 cm² and a plate separation of 0.41 mm. Calculate its capacitance.,42.3,TD,False
TD021,A parallel-plate capacitor has a capacitance of 42.64 pF and is charged with a potential difference of 122.7 V. Calculate the electric charge that the capacitor stores.,5.23,TD,False
TD022,A parallel-plate air capacitor has a capacitance of 42.64 pF and is charged to a potential difference of 122.7 V. Calculate the electric field energy stored in the capacitor.,320.83,TD,False
TD023,A parallel plate air capacitor has a plate area of 44.1 cm² and the distance between the two plates is 0.79 mm. Calculate the capacitance of the capacitor.,49.4,TD,False
TD024,A parallel-plate capacitor has a capacitance of 49.11 pF and is charged to a voltage of 66.3 V. Calculate the charge accumulated by the capacitor.,3.26,TD,False
TD025,An air-filled parallel-plate capacitor has a capacitance of 49.11 pF and is charged to a potential difference of 66.3 V. Calculate the electric field energy stored in the capacitor.,107.96,TD,False
TD026,An air-filled parallel-plate capacitor has a plate area of 34.5 cm² and the distance between the two plates is 0.64 mm. Calculate the capacitance of the capacitor.,47.7,TD,False
TD027,A parallel-plate capacitor with a capacitance of 47.93 pF is charged to a voltage of 70.1 V. Calculate the charge stored by the capacitor.,3.36,TD,False
TD028,An air-filled parallel-plate capacitor has a capacitance of 47.93 pF and is charged to a voltage of 70.1 V. Calculate the energy stored in the capacitor.,117.6,TD,False
TD029,An air-filled parallel-plate capacitor has a plate area of 46.7 cm² and a separation distance between the two plates of 1.88 mm. Calculate the capacitance of the capacitor.,21.96,TD,False
TD030,A parallel-plate capacitor with a capacitance of 21.96 pF is charged to a voltage of 28.8 V. Calculate the charge stored by the capacitor.,0.63,TD,False
TD031,A parallel-plate air capacitor has a capacitance of 21.96 pF and is charged to a potential difference of 28.8 V. Calculate the electric field energy stored in the capacitor.,9.11,TD,False
TD032,An air-filled parallel plate capacitor has a plate area of 23.8 cm² and a distance between the plates of 0.94 mm. Calculate the capacitance of the capacitor.,22.42,TD,False
