id,question,answer,unit,smart_bucket,reason
LD030,"Three charges, q1 = 8×10^-9 C, q2 = q3 = -8×10^-9 C, are placed at the three vertices of an equilateral triangle ABC with side length a = 6 cm, in air. Determine the net force acting on a charge q0 = 6×10^-9 C placed at the center O of the triangle.",7.2 × 10^-4,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD031,"In a vacuum, consider two electric charges q1 = -q2 = 10^-7 C placed at points A and B, separated by 8 cm. Determine the resultant force acting on electric charge q0 = 10^-7 C when q0 is placed at H, which is the midpoint of AB.",1.125 × 10^-1,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD032,"In a vacuum, two charges q1 = 10^-7 C and q2 = -10^-7 C are placed at points A and B, separated by 8 cm. Determine the resultant force acting on a third charge q0 = 10^-7 C when q0 is placed at point M, 4 cm from A and 12 cm from B.",0.05,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD033,"Three charges are placed at the three vertices of an equilateral triangle with side length a = 6 cm, in air: q1 = 6×10^-9 C, q2 = q3 = -8×10^-9 C. Determine the net force acting on a charge q0 = 8×10^-9 C placed at the center of the triangle.",8.4 × 10^-4,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD034,"Two point charges q1 = 2×10⁻² µC and q2 = -2×10⁻² µC are placed at points A and B, separated by a distance a = 30 cm in air. What is the magnitude of the electric force exerted on a charge qo = 2×10⁻⁹ C placed at point M, which is equidistant from A and B by a distance equal to 'a'?",4 × 10^-6,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD035,"Two point charges q1 = 4×10^-8 C and q2 = -4×10^-8 C are placed at points A and B, separated by a distance of 4 cm in air. What is the force acting on a charge q = 2×10^-7 C placed at the midpoint O of AB?",0.36,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD036,"Two point charges, q1 and q2, of equal magnitude and the same sign, are placed in air a distance r apart. A third point charge, q3, is placed at the midpoint of the line segment connecting q1 and q2. What is the net force acting on charge q3?",0,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD037,"There are two charges, q1 = 2×10^-6 C and q2 = -2×10^-6 C, placed at points A and B respectively in a vacuum, separated by a distance of 6 cm. A third charge, q3 = 4×10^-6 C, is placed on the perpendicular bisector of AB, at a distance of 4 cm from the line segment AB. What is the magnitude of the net electric force exerted by charges q1 and q2 on charge q3?",34.56,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD038,"At the three vertices of right-angled triangle ABC (right-angled at A), with AB = 30 cm, AC = 40 cm, and BC = 50 cm, charges q1 = q2 = q3 = 10^-9 C are placed. Determine the magnitude of the net electric force acting on a charge q = 10^-9 C placed at point H, which is the foot of the altitude from A.",2.45 × 10^-7,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD039,"Four identical charges q1, q2, q3, q4 are placed at the four vertices of a square ABCD, with a side length of 4 cm, respectively. Find the electric force acting on a charge q0 = 2×10^-8 C placed at the center of the square.",0,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD040,"Two point charges q1 = 3 μC and q2 = -2 μC are placed at points A and B, separated by 6 cm. Find the magnitude of the electric force acting on q1 by q2? (Take k = 9×10^9 N×m²/C²)",15,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD041,"Two charges of the same magnitude q are placed at two adjacent vertices of an isosceles right triangle with side length a = 10 cm. Find the magnitude of the total electric force acting on a test charge q0 placed at the remaining vertex, given F0 = kqq0/a^2.",\sqrt{2} × F₀,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD042,"Two charges, q1 = +1 μC and q2 = +1 μC, are placed at points A and B, separated by 4 cm. Find the net force acting on a test charge q0 = +2 μC placed at point M, which is located precisely at the midpoint between A and B.",0,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD043,Three identical charges 'q' are placed at the three vertices of an equilateral triangle with side length 'a'. Find the net electric force acting on a test charge placed at the center of the triangle?,0,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD044,"Two point charges q1 = +2 μC and q2 = -2 μC are placed at two points A and B, separated by 6 cm. A test charge q0 = +1 μC is placed at point M, located on the extension of line AB, 4 cm from A and 10 cm from B. Calculate the magnitude of the net force acting on q0?",9.45,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD045,"Two point charges, q1 = +1 μC and q2 = -4 μC, are placed 6 cm apart. Point M is located on the line segment connecting the two charges, 2 cm away from qCalculate the magnitude of the net force acting on a test charge placed at M, if q0 = +1 μC.",45,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD046,Two electric charges q1 = +2 μC and q2 = +3 μC are placed at two points 5 cm apart. A test charge q0 = +1 μC is placed at a point 3 cm from q1 and 4 cm from q2. What is the net electric force acting on q0? (Use k = 9×10^9),26.2,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD047,"A test charge is placed at a point whose distances to the two charges q1 = +2 μC and q2 = -3 μC are 3 cm and 4 cm, respectively. The two charges are fixed and separated by 7 cm. What is the direction of the net electric force acting on the test charge?",Hướng về phía q₂,-,review_bad_or_non_numeric_answer,answer not numeric-like
LD048,"A charge q1 = +2 μC is at A and q2 = -2 μC is at B, separated by 10 cm. A test charge is placed at the midpoint of AB. Calculate the net force acting on the test charge? If q0 = +1 μC.",14.4,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD049,"Two charges, q1 = +5 μC and q2 = +5 μC, are placed at points A and B, 10 cm apart. Calculate the magnitude of the force acting on a test charge q0 = +1 μC placed at a point 6 cm from A and 8 cm from B.",14.34,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD050,"Two charges, q1 = +1 μC and q2 = -1 μC, are placed at two points 10 cm apart. A test charge q0 = +2 μC is placed at a point equidistant from the two charges and located on the line connecting q1 and q2. What is the magnitude of the net electric force acting on q0?",14.4,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD051,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength (or intensity) caused by these two point charges at point N, where NA = 5 cm and NB = 15 cm.",6.4 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD052,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in air. Determine the electric field strength produced by these two point charges at point C, given that AC = BC = 8 cm.",3.51 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD053,"At two points A and B, separated by 10 cm in the air, two charges q1 = -q2 = 6 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = BC = 12 cm.",3.125 × 10^6,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD054,"Two point charges, q1 = 6 × 10^-6 C and q2 = -6 × 10^-6 C, are placed in air at points A and B, separated by 10 cm.
 Calculate the electric force exerted on a charge q3 = -3 × 10^-8 C placed at C.",0.094,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD055,"At two points A and B, separated by 10 cm in air, two electric charges q1 = q2 = 16 × 10^-8 C are placed. Determine the electrostatic force acting on charge q3 = 2 × 10^-6 C, which is placed at point C. Given that AC = BC = 8 cm.",0.7,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD056,"At two points A and B, separated by 20 cm in air, two point charges q1 = 4 × 10^-6 C and q2 = -6.4 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = 12 cm and BC = 16 cm. Determine the electric force acting on charge q3 = -5 × 10^-8 C placed at C.",33.6 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD057,"At two points A and B, 20 cm apart in the air, two charges q1 = 4 × 10^-6 C and q2 = -6.4 × 10^-6 C are placed. Determine the electric force acting on a charge q3 = -5 × 10^-8 C placed at C.",0.17,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD058,"Two charges, q1 = -1.6 × 10^-6 C and q2 = -2.4 × 10^-6 C, are placed at points A and B, respectively, which are 10 cm apart in air. Determine the electric field strength at point C due to these two charges. Given that AC = 8 cm and BC = 6 cm.",64 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD059,"Four charges of the same magnitude q are placed at the four vertices of a square ABCD with side length a. Positive charges are located at A and C, while negative charges are located at B and D. Determine the resultant electric field strength at the intersection point of the square's diagonals.",0,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD060,"Two electric charges, q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of the electric field strength at the midpoint of the line connecting the two charges?",36000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD061,"Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with a side length of 8 cm, in air. What is the magnitude of the electric field strength at vertex A?",1.2178 × 10^-3,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD062,"Two electric charges q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C are placed at two points separated by 10 cm in a vacuum. Calculate the magnitude of the electric field strength at a point located on the straight line passing through the two charges, and which is 5 cm from q1 and 15 cm from q2.",20000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD063,"Two electric charges, q1 = 5 × 10^-16 C and q2 = –5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with sides of 8 cm in the air. What is the magnitude of the electric field strength at vertex A of triangle ABC?",0.7031 × 10^-3,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD064,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, 6 cm apart in air. What is the magnitude of the electric field strength at the midpoint of AB?",10000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD065,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at two points A and B, separated by 6 cm in air. What is the magnitude of the electric field strength at point M, which is located on the perpendicular bisector of AB, at a distance ℓ = 4 cm from the midpoint of AB?",2160,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD066,"Two point charges q1 = 2 × 10⁻² μC and q2 = –2 × 10⁻² μC are placed at two points A and B, separated by a distance a = 30 cm, in air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance a = 30 cm?",2000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD067,"Determine the electric field vector produced by a system of two point charges, q1 = 2 × 10^-7 C and q2 = -4 × 10^-7 C, at the midpoint of the line segment connecting the two charges. The two charges are separated by 10 cm and are located in alcohol, which has a dielectric constant ε = 2.2.",9.8 × 10^5,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
LD068,"Three equal positive point charges, q = 5 × 10^-9 C, are placed at three vertices of a square with side length a = 40 cm. What is the magnitude of the electric field at the fourth vertex of the square?",538,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
LD069,"Two charges, q1 = 4 × 10^-10 C and q2 = -4 × 10^-10 C, are placed at points A and B in the air, with the distance AB = a = 2 cm. Determine the electric field vector at point N such that A, B, and N form an equilateral triangle.",9000,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
LD070,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at points A and B, separated by 40 cm in air. What is the resultant electric field strength at the midpoint M of AB? 
Hai điện tích điểm q1 = -10^-6 C, q2 = 10^-6 C đặt tại hai điểm A and B cách nhau 40 cm trong No khí. Cường độ điện trường tổng hợp tại trung điểm M của AB là.",4.5 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD071,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at two points A and B, 40 cm apart in a vacuum. What is the magnitude of the resultant electric field at point N, which is 20 cm from A and 60 cm from B?
Hai điện tích điểm q1 = -10^-6 and q2 = 10^-6 C đặt tại hai điểm A and B cách nhau 40 cm trong chân No. Cường độ điện trường tổng hợp tại điểm N cách A 20 cm and cách B 60 cm Yes độ lớn.",2 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD072,"Two point charges, q1 = 0.5 nC and q2 = −0.5 nC, are placed at points A and B respectively. The points are separated by a distance a = 6 cm in the air. Determine the electric field strength E at point M, where M is the midpoint of AB.",10000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD073,"There are two point charges, q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in the air. Determine the electric field strength E at point C, which is 6 cm from A and 12 cm from B.",937.5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD074,"There are two point charges q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in air. Determine the electric field strength E at point M, which is located on the perpendicular bisector of AB and 4 cm away from AB.",2160,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD075,"Two charges, q1 = 8 × 10^-9 C and q2 = −2 × 10^-9 C, are placed at points A and B, separated by 9 cm in a vacuum. Let C be the point where the net electric field is zero. What is the distance from A to C?",18,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
LD076,"At the three vertices A, B, and C of a square ABCD with side length 6 cm in a vacuum, three point charges are placed: q1 = q3 = 2 × 10^-7 C and q2 = -4 × 10^-7 C. Determine the charge q4 placed at D such that the net electric field strength caused by the system of charges at the center O is zero.",-4 × 10^-7,C,electrostatics_candidate,Coulomb/electric-force geometry wording
LD077,"Two test charges q1 and q2 (q1 = 4q2) are placed at points A and B respectively in an electric field. The force acting on q1 is F1, and the force acting on q2 is F2 (with F1 = 3F2). Let E1 and E2 be the electric field strengths at A and B respectively. What is the relationship between E1 and E2?",E1 = (3/4)E2,-,electrostatics_candidate,Coulomb/electric-force geometry wording
LD078,"Two points A and B lie on the same electric field line generated by a positive point charge q > 0. The magnitude of the electric field strength at A is 36 V/m, and at B is 9 V/m. Determine the electric field strength at M, the midpoint of AB.",16,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD079,"Two electric charges, q1 = q2 = 5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of the electric field strength at the midpoint of the line segment connecting the two charges?",0,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD080,"Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with a side length of 8 cm, in air. What is the magnitude of the electric field strength at vertex A of the triangle?",1.218 x 10^-3,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD081,"Point charges qA and qB, both equal to 3 × 10⁻⁷ C, are placed respectively at two points A and B in the air. The distance AB is 12 cm. M is a point located on the perpendicular bisector of AB, 8 cm away from the line segment AB. What is the magnitude of the resultant electric field strength produced by qA and qB at point M?",432000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD082,"At two points A and B, separated by 8 cm in a vacuum, there are two point charges q1 = q2 = 16 × 10^-8 C. Determine the magnitude of the electric field caused by these two charges at point C, given that AC = BC = 8 cm.",389,kV/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD083,"Three positive charges, q1 = q2 = q3 = q = 5 × 10^-9 C, are placed at three consecutive vertices of a square with side length a = 30 cm in the air. What is the magnitude of the electric field at the fourth vertex?",9.6 × 10^2,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD084,Three identical charges Q are fixed at the three vertices of an equilateral triangle with side 'a'. What is the magnitude of the electric field intensity at the center of the triangle?,0,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD085,"At the three vertices of a right isosceles triangle ABC, with AB = AC = a, three positive charges qA = qB = q and qC = 2q are placed in a vacuum. What is the expression for the electric field intensity at H, which is the foot of the altitude dropped from the right-angle vertex A to the hypotenuse BC?",2 × sqrt(2) × k × q / a^2,-,electrostatics_candidate,Coulomb/electric-force geometry wording
LD086,"Two point charges, q1 = 4 mC and q2 = −9 mC, are placed at points A and B, separated by 9 cm in a vacuum. What is the distance from point M to B, given that the net electric field at point M is zero?",27,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
LD087,Given a square ABCD with side length 'a'. Charges q1 = q3 = q are placed at A and C. What charge must be placed at B so that the electric field at D is zero?,-2\sqrt{2} x q,-,electrostatics_candidate,Coulomb/electric-force geometry wording
LD088,"Given two electric charges q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, located at points A and B in the air, separated by a distance AB = 2 cm. Determine the magnitude of the electric field strength E (V/m) at H, the midpoint of AB.",73718,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD089,"Given two electric charges q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, placed at points A and B in air, with a separation AB = 2 cm. Determine the magnitude of the electric field strength E (in V/m) at point M, where MA = 1 cm and MB = 3 cm.",3.28 × 10^4,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD090,"Two electric charges, q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, are placed at points A and B in air, with AB = 2 cm. Determine the magnitude of the electric field E (in V/m) at point N, given that triangle NAB is an equilateral triangle.",9 × 10^3,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD091,"Two electric charges, q1 = -10 × 10⁻⁸ C and q2 = 10 × 10⁻⁸ C, are placed at points A and B in air, with AB = 6 cm. Determine the electric field vector at point M, which lies on the perpendicular bisector of AB and is 4 cm from AB.",4.32 × 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD092,"A right-angled triangle ABC has its right angle at A. The side lengths are AB = 30 cm, AC = 40 cm, and BC = 50 cm (the hypotenuse). Identical point charges, q = 10 × 10⁻⁹ C, are placed at each of the three vertices (A, B, and C). Determine the electric field vector at point H, which is the foot of the altitude from vertex A to the hypotenuse BC.",2459,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD094,"Two point charges q1 = +2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, separated by 6 cm in air. Calculate the net electric field strength at point M, which is on the line connecting A and B, 2 cm away from q1.",5.625 × 10^7,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD095,"Two electric charges, q1 = +1 × 10^-6 C and q2 = +1 × 10^-6 C, are placed at points A and B, separated by 8 cm. Calculate the total (or net) electric field strength at the midpoint of AB.",0,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD096,"Three equal, like-signed electric charges q = 2 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 6 cm. Calculate the electric field strength at the center of the triangle.",0,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD097,"Two electric charges q1 = +3 × 10^-6 C and q2 = +4 × 10^-6 C are placed at points A and B, which are 5 cm apart. Calculate the resultant electric field strength at point M, which is 3 cm from A and 4 cm from B.",3.75 × 10^7,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD098,"Two point charges q1 = −2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, 6 cm apart. Calculate the resultant electric field strength at point C, which lies on the perpendicular bisector of AB, at a distance of 4 cm from AB.",1.152 × 10^7,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD099,"Two electric charges, q1 = +1 × 10^-6 C and q2 = −1 × 10^-6 C, are placed 10 cm apart. Calculate the resultant electric field at point M, which is equidistant from both charges and 5 cm away from the line segment connecting them.",2.55 × 10^6,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
LD100,"Two electric charges, q1 = +3 × 10^-6 C and q2 = −3 × 10^-6 C, are placed at points A and B, separated by 10 cm. Point M lies on the perpendicular bisector of AB, at a distance of 6 cm from the line segment AB. Calculate the resultant electric field strength at M.",5.67 × 10^6,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
TD001,An air-filled parallel-plate capacitor has a capacitance C = 500 pF and is charged to a potential difference U = 300 V. It is then disconnected from the source and immersed in a liquid dielectric with dielectric constant ε = 2. What is the potential difference between the plates of the capacitor?,150,V,capacitor_state_candidate,capacitor + state/event wording
TD002,"An air-filled parallel plate capacitor has a capacitance C = 500 pF and is charged to a voltage U = 300 V. While still connected to the source, it is immersed in a liquid dielectric with a dielectric constant ε = 2. What will be the potential difference between the capacitor plates?",300,V,capacitor_state_candidate,capacitor + state/event wording
TD003,An air-filled parallel plate capacitor with capacitance C = 500 pF is charged to a voltage U = 300 V. The capacitor is then disconnected from the source and immersed in a liquid dielectric with a relative permittivity (dielectric constant) of ε_r = 2. What is the electric field energy stored between the plates of the capacitor?,11.25,μJ,capacitor_state_candidate,capacitor + state/event wording
